timestamp,throughput_gbps,queueing_KB
1.088938888889,397.23,0.25
1.088988888889,395.11,0.25
1.089038888889,402.90,0.26
1.089088888889,415.30,0.28
1.089138888889,413.86,0.26
1.089188888889,433.33,0.27
1.089238888889,413.86,0.27
1.089288888889,375.08,0.22
1.089338888889,399.83,0.27
1.089388888889,419.76,0.30
1.089438888889,397.74,0.22
1.089488888889,409.37,0.26
1.089538888889,428.13,0.29
1.089588888889,443.62,0.28
1.089638888889,408.77,0.29
1.089688888889,405.53,0.26
1.089738888889,404.84,0.26
1.089788888889,412.40,0.26
1.089838888889,444.81,0.33
1.089888888889,436.80,0.34
1.089938888889,400.32,0.26
1.089988888889,417.01,0.31
1.090038888889,427.99,0.29
1.090088888889,432.69,0.32
1.090138888889,451.34,0.38
1.090188888889,400.34,0.27
1.090238888889,423.65,0.28
1.090288888889,411.57,0.26
1.090338888889,430.26,0.32
1.090388888889,412.98,0.25
1.090438888889,424.15,0.27
1.090488888889,411.92,0.27
1.090538888889,403.19,0.23
1.090588888889,380.53,0.20
1.090638888889,387.76,0.27
1.090688888889,419.37,0.27
1.090738888889,414.76,0.29
1.090788888889,407.84,0.23
1.090838888889,418.97,0.28
1.090888888889,405.37,0.25
1.090938888889,395.56,0.28
1.090988888889,398.66,0.22
1.091038888889,356.26,0.20
1.091088888889,370.00,0.19
1.091138888889,419.44,0.25
1.091188888889,415.79,0.28
1.091238888889,397.78,0.27
1.091288888889,366.07,0.20
1.091338888889,394.35,0.27
1.091388888889,412.55,0.26
1.091438888889,397.39,0.24
1.091488888889,407.71,0.31
1.091538888889,423.83,0.26
1.091588888889,419.83,0.26
1.091638888889,421.99,0.29
1.091688888889,423.33,0.28
1.091738888889,422.84,0.25
1.091788888889,421.12,0.25
1.091838888889,442.80,0.29
1.091888888889,438.57,0.31
1.091938888889,421.22,0.30
1.091988888889,425.43,0.30
1.092038888889,421.31,0.28
1.092088888889,442.56,0.36
1.092138888889,452.07,0.35
1.092188888889,429.51,0.30
1.092238888889,425.89,0.31
1.092288888889,433.95,0.31
1.092338888889,435.73,0.31
1.092388888889,426.60,0.28
1.092438888889,399.46,0.25
1.092488888889,404.17,0.25
1.092538888889,429.55,0.30
1.092588888889,457.47,0.35
1.092638888889,421.66,0.30
1.092688888889,394.61,0.23
1.092738888889,412.17,0.28
1.092788888889,386.52,0.25
1.092838888889,363.12,0.21
1.092888888889,386.80,0.24
1.092938888889,382.47,0.23
1.092988888889,366.38,0.20
1.093038888889,396.42,0.25
1.093088888889,385.49,0.26
1.093138888889,388.56,0.23
1.093188888889,410.30,0.28
1.093238888889,407.94,0.26
1.093288888889,384.14,0.20
1.093338888889,371.79,0.20
1.093388888889,386.47,0.22
1.093438888889,370.33,0.19
1.093488888889,336.69,0.15
1.093538888889,362.28,0.18
1.093588888889,364.30,0.23
1.093638888889,353.60,0.18
1.093688888889,361.42,0.17
1.093738888889,357.58,0.20
1.093788888889,336.79,0.17
1.093838888889,349.34,0.19
1.093888888889,356.69,0.23
1.093938888889,379.19,0.21
1.093988888889,344.83,0.18
1.094038888889,365.65,0.20
1.094088888889,390.30,0.25
1.094138888889,385.69,0.23
1.094188888889,369.70,0.22
1.094238888889,384.42,0.23
1.094288888889,388.75,0.19
1.094338888889,378.49,0.24
1.094388888889,429.07,0.28
1.094438888889,432.51,0.33
1.094488888889,436.99,0.31
1.094538888889,387.88,0.25
1.094588888889,399.00,0.27
1.094638888889,393.16,0.23
1.094688888889,403.84,0.26
1.094738888889,415.47,0.33
1.094788888889,445.82,0.31
1.094838888889,417.37,0.26
1.094888888889,417.53,0.26
1.094938888889,408.14,0.28
1.094988888889,428.63,0.31
1.095038888889,409.57,0.31
1.095088888889,427.54,0.30
1.095138888889,418.75,0.27
1.095188888889,371.26,0.20
1.095238888889,373.28,0.19
1.095288888889,369.97,0.21
1.095338888889,395.87,0.26
1.095388888889,408.54,0.23
1.095438888889,421.61,0.31
1.095488888889,397.68,0.27
1.095538888889,384.71,0.23
1.095588888889,392.36,0.25
1.095638888889,362.21,0.20
1.095688888889,357.44,0.17
1.095738888889,331.31,0.14
1.095788888889,359.37,0.18
1.095838888889,356.48,0.17
1.095888888889,370.20,0.22
1.095938888889,360.44,0.21
1.095988888889,389.02,0.23
1.096038888889,362.16,0.20
1.096088888889,361.13,0.20
1.096138888889,352.27,0.16
1.096188888889,346.18,0.18
1.096238888889,357.36,0.17
1.096288888889,352.25,0.17
1.096338888889,358.06,0.21
1.096388888889,373.20,0.23
1.096438888889,378.91,0.23
1.096488888889,358.41,0.20
1.096538888889,350.95,0.19
1.096588888889,366.81,0.19
1.096638888889,366.39,0.19
1.096688888889,371.49,0.23
1.096738888889,341.79,0.16
1.096788888889,336.65,0.16
1.096838888889,364.27,0.22
1.096888888889,354.98,0.18
1.096938888889,342.65,0.19
1.096988888889,331.10,0.16
1.097038888889,328.43,0.14
1.097088888889,326.57,0.15
1.097138888889,293.16,0.10
1.097188888889,299.08,0.12
1.097238888889,303.29,0.11
1.097288888889,319.27,0.15
1.097338888889,321.89,0.16
1.097388888889,364.94,0.17
1.097438888889,355.78,0.19
1.097488888889,361.24,0.19
1.097538888889,319.21,0.16
1.097588888889,340.95,0.18
1.097638888889,333.85,0.16
1.097688888889,330.35,0.14
1.097738888889,342.81,0.17
1.097788888889,340.63,0.16
1.097838888889,326.86,0.15
1.097888888889,334.36,0.17
1.097938888889,338.19,0.17
1.097988888889,315.03,0.12
1.098038888889,311.92,0.15
1.098088888889,323.60,0.16
1.098138888889,305.82,0.13
1.098188888889,307.05,0.13
1.098238888889,329.53,0.15
1.098288888889,312.11,0.13
1.098338888889,328.02,0.16
1.098388888889,323.97,0.16
1.098438888889,313.82,0.16
1.098488888889,354.53,0.16
1.098538888889,339.62,0.16
1.098588888889,351.67,0.17
1.098638888889,362.54,0.21
1.098688888889,344.26,0.16
1.098738888889,313.71,0.10
1.098788888889,334.28,0.16
1.098838888889,341.71,0.19
1.098888888889,343.43,0.19
1.098938888889,351.46,0.17
