timestamp,throughput_gbps,queueing_KB
1.960050000000,57.55,0.57
1.960100000000,61.04,0.76
1.960150000000,58.73,0.56
1.960200000000,57.48,0.64
1.960250000000,55.17,0.76
1.960300000000,57.58,0.38
1.960350000000,64.71,0.70
1.960400000000,48.85,0.76
1.960450000000,49.21,0.67
1.960500000000,55.14,0.71
1.960550000000,58.71,0.73
1.960600000000,59.24,0.69
1.960650000000,56.79,0.58
1.960700000000,57.59,0.58
1.960750000000,55.13,0.45
1.960800000000,50.45,0.56
1.960850000000,52.62,0.74
1.960900000000,48.69,0.40
1.960950000000,54.16,0.89
1.961000000000,49.72,0.61
1.961050000000,55.86,0.37
1.961100000000,57.12,0.59
1.961150000000,58.09,0.62
1.961200000000,54.39,0.70
1.961250000000,50.99,0.56
1.961300000000,52.52,0.49
1.961350000000,48.60,0.35
1.961400000000,57.41,2.28
1.961450000000,46.76,0.65
1.961500000000,46.82,0.43
1.961550000000,46.93,0.33
1.961600000000,50.41,0.28
1.961650000000,59.22,0.44
1.961700000000,61.84,0.58
1.961750000000,62.30,1.93
1.961800000000,56.75,0.41
1.961850000000,59.03,0.66
1.961900000000,49.82,0.69
1.961950000000,50.65,0.77
1.962000000000,37.48,0.21
1.962050000000,44.91,0.30
1.962100000000,37.20,0.19
1.962150000000,47.44,0.32
1.962200000000,51.93,0.54
1.962250000000,52.19,0.50
1.962300000000,41.14,0.57
1.962350000000,67.67,7.06
1.962400000000,56.38,0.64
1.962450000000,40.56,0.35
1.962500000000,47.91,0.65
1.962550000000,49.74,0.47
1.962600000000,42.70,0.36
1.962650000000,46.87,0.46
1.962700000000,46.30,0.22
1.962750000000,54.48,0.47
1.962800000000,57.38,0.53
1.962850000000,57.81,0.36
1.962900000000,56.15,0.64
1.962950000000,57.49,0.52
1.963000000000,51.11,0.54
1.963050000000,59.21,0.46
1.963100000000,66.03,1.65
1.963150000000,51.43,0.55
1.963200000000,53.89,0.49
1.963250000000,53.63,0.61
1.963300000000,55.28,0.55
1.963350000000,53.20,0.42
1.963400000000,49.81,0.28
1.963450000000,47.32,0.50
1.963500000000,46.03,0.58
1.963550000000,46.86,0.42
1.963600000000,47.67,0.37
1.963650000000,45.71,1.73
1.963700000000,73.15,5.10
1.963750000000,44.52,0.32
1.963800000000,36.70,0.20
1.963850000000,47.01,0.39
1.963900000000,49.21,0.53
1.963950000000,66.75,10.48
1.964000000000,99.91,64.00
1.964050000000,48.56,0.68
1.964100000000,37.06,0.14
1.964150000000,41.15,0.18
1.964200000000,49.26,0.23
1.964250000000,51.75,0.40
1.964300000000,42.31,0.32
1.964350000000,36.47,0.11
1.964400000000,79.36,8.82
1.964450000000,48.15,1.06
1.964500000000,39.62,0.46
1.964550000000,39.89,0.26
1.964600000000,47.02,0.64
1.964650000000,48.59,0.37
1.964700000000,50.08,0.57
1.964750000000,43.22,0.35
1.964800000000,43.64,0.25
1.964850000000,42.67,0.22
1.964900000000,50.72,1.84
1.964950000000,49.38,0.43
1.965000000000,50.35,0.31
1.965050000000,47.88,0.35
1.965100000000,91.24,27.89
1.965150000000,76.30,8.34
1.965200000000,81.59,7.03
1.965250000000,55.67,0.54
1.965300000000,56.06,0.34
1.965350000000,54.75,0.48
1.965400000000,51.29,0.51
1.965450000000,53.92,0.59
1.965500000000,55.36,0.81
1.965550000000,51.04,0.81
1.965600000000,53.77,0.49
1.965650000000,54.72,1.13
1.965700000000,50.10,0.49
1.965750000000,53.48,0.53
1.965800000000,54.07,0.57
1.965850000000,54.73,0.70
1.965900000000,61.09,0.72
1.965950000000,62.03,0.68
1.966000000000,61.41,0.59
1.966050000000,60.30,0.84
1.966100000000,59.70,0.93
1.966150000000,57.37,0.40
1.966200000000,61.69,2.05
1.966250000000,90.21,12.21
1.966300000000,58.00,0.55
1.966350000000,51.74,0.32
1.966400000000,54.90,0.36
1.966450000000,53.79,0.43
1.966500000000,55.11,0.36
1.966550000000,51.62,0.38
1.966600000000,56.00,0.69
1.966650000000,49.97,0.36
1.966700000000,47.73,0.35
1.966750000000,46.55,0.26
1.966800000000,49.77,0.64
1.966850000000,54.42,0.58
1.966900000000,42.63,0.42
1.966950000000,34.72,1.12
1.967000000000,30.86,0.15
1.967050000000,34.01,0.15
1.967100000000,24.19,0.06
1.967150000000,31.40,0.10
1.967200000000,46.12,1.61
